Code - (bucket, position in bucket) - Keyword/Character
2    (-1,-1)   START
4    (-1,-1)   DEF
0    (18,0)   id
41   (-1,-1)   :
5    (-1,-1)   NUMBER
11   (-1,-1)   READ
0    (18,0)   id
4    (-1,-1)   DEF
0    (0,0)   id
41   (-1,-1)   :
8    (-1,-1)   ARRAY
44   (-1,-1)   [
0    (18,0)   id
45   (-1,-1)   ]
9    (-1,-1)   OF
5    (-1,-1)   NUMBER
39   (-1,-1)   ;
0    (10,0)   id
41   (-1,-1)   :
5    (-1,-1)   NUMBER
39   (-1,-1)   ;
0    (9,0)   id
41   (-1,-1)   :
5    (-1,-1)   NUMBER
15   (-1,-1)   ASSIGN
0    (10,0)   id
41   (-1,-1)   :
10   (-1,-1)   UNDEFINED
15   (-1,-1)   ASSIGN
0    (9,0)   id
41   (-1,-1)   :
1    (8,0)   constant
16   (-1,-1)   WHILE
0    (9,0)   id
31   (-1,-1)   <
0    (18,0)   id
17   (-1,-1)   STARTWHILE
11   (-1,-1)   READ
0    (0,0)   id
44   (-1,-1)   [
0    (9,0)   id
45   (-1,-1)   ]
15   (-1,-1)   ASSIGN
0    (9,0)   id
41   (-1,-1)   :
42   (-1,-1)   (
0    (9,0)   id
27   (-1,-1)   +
1    (9,1)   constant
43   (-1,-1)   )
18   (-1,-1)   FINISHWHILE
15   (-1,-1)   ASSIGN
0    (9,0)   id
41   (-1,-1)   :
1    (8,0)   constant
16   (-1,-1)   WHILE
0    (9,0)   id
32   (-1,-1)   <=
0    (18,0)   id
17   (-1,-1)   STARTWHILE
12   (-1,-1)   IF
0    (10,0)   id
33   (-1,-1)   ===
10   (-1,-1)   UNDEFINED
37   (-1,-1)   ||
0    (0,0)   id
44   (-1,-1)   [
0    (9,0)   id
45   (-1,-1)   ]
36   (-1,-1)   >
0    (10,0)   id
13   (-1,-1)   STARTIF
15   (-1,-1)   ASSIGN
0    (10,0)   id
41   (-1,-1)   :
0    (0,0)   id
44   (-1,-1)   [
0    (9,0)   id
45   (-1,-1)   ]
14   (-1,-1)   FINISHIF
15   (-1,-1)   ASSIGN
0    (9,0)   id
41   (-1,-1)   :
42   (-1,-1)   (
0    (9,0)   id
27   (-1,-1)   +
1    (9,1)   constant
43   (-1,-1)   )
18   (-1,-1)   FINISHWHILE
24   (-1,-1)   PRINT
42   (-1,-1)   (
1    (0,1)   constant
27   (-1,-1)   +
0    (10,0)   id
43   (-1,-1)   )
3    (-1,-1)   FINISH
